Country Name,Country Code,Series Name,Series Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Armenia,ARM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,91.6,92.9,94.2,95,95.7,96.4,96.8,97.2,97.5,97.6,97.8
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.80000305,99.18823242,99.1931839,99.20537567,99.22750092,99.80000305,99.60579681,99.62896729,99.41999817,99.70999908,100
Armenia,ARM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.62270355,99.02339935,98.94639587,98.86361694,98.79253387,99.973526,99.55459595,99.35077667,99.43714905,99.79554749,100
Armenia,ARM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.90000153,99.28160095,99.33358002,99.40063477,99.47708893,99.69999695,99.63542938,99.7906723,99.41000366,99.66000366,100
Armenia,ARM,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,97.8,99.7,99.9,99.9,100,99.5,100,100,100,100,100
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999
Armenia,ARM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.46,4.42,4.07,3.82,3.72,3.73,3.74,4.05,4.06,4.16,4.2
Armenia,ARM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,92,75,72,71,68,61,55,53,60,57,50
Armenia,ARM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,60.86,60.98,61.14,60.96,61.95,64.76,66.24,66.58,66.89,66.18,65.46
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.792,71.987,72.327,72.398,72.813,73.16,73.305,73.454,73.676,74.058,74.436
Armenia,ARM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,23.7,22.5,21.4,20.3,19.2,18.3,17.3,16.4,15.6,14.8,14.1
Armenia,ARM,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.064025825,0.058365731,0.052721077,0.047092496,0.041479516,0.035882412,0.030301184,0.024735834,0.019181538,0.013632583,0.011358461
Armenia,ARM,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,99.10570863,99.18557892,99.26547777,99.34540517,99.42536114,99.50534566,99.58535874,99.66540038,99.74547058,99.81718162,99.8438534
Armenia,ARM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.5643,2.5897,2.6724,2.7432,2.7679,2.8419,2.8677,2.8968,2.9031,2.8928,2.9143
Armenia,ARM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,37.06872924,37.06872924,37.06872924,37.06872924,37.06872924,37.53004093,38.61227522,37.18448464,34.9372126,33.08594982,34.88143264
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,6.49,7.65,7.02,6.4,7.8,9.36,8.01,6.56,6.77,7.08,10.74
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,95.44106293,100.1557999,113.2876205,114.5186768,110.8467789,99.06498718,98.4758606,98.91773987,98.44946289,96.86598969,95.00364685
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,92.05428314,94.94132996,96.42764282,94.97048187,100.125618,104.7133179,93.13488007,93.13488007,85.89755249,85.88350677,86.00588989
Armenia,ARM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,39.54676819,43.11534882,45.93093872,48.48933029,51.33459091,52.989151,53.33778,46.15803146,45.73738861,47.08219147,46.52180099
Armenia,ARM,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,11.18700027,10.4659996,9.767000198,15.0170002,19.68899918,21.29199982,19.64999962,18.17900085,18.1420002,19.46800041,19.25600052
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.20300007,9.996999741,9.81000042,14.39299965,18.44000053,19.01000023,18.44000053,17.29999924,16.18000031,17.5,18.26000023
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.938,63.839,63.739,63.64,63.54,63.44,63.34,63.24,63.164,63.112,63.085
Austria,AUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.6,98.6,98.5,98.6,98.6,98.5,98.6,98.5,98.5,98.5,98.5
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586
Austria,AUT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.69,7.66,7.75,7.69,7.68,7.65,7.68,7.67,7.64,7.58,7.54
