Country Name,Country Code,Series Name,Series Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Vietnam,VNM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,31.8,35.6,39.4,42.75,45.8,48.7,51.6,53.9,56.2,58.3,59.6
Vietnam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.09999847,96,93.20526886,93.98171234,96.09999847,97.43000031,99,97.88999939,98.55496216,99.19999695,99.82130432
Vietnam,VNM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,94.78694916,94.8011322,90.76005554,91.73643494,94.61694336,96.35902405,98.54904175,97.00138092,97.87874603,98.85342407,99.73003387
Vietnam,VNM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.59999847,99.09999847,99.33853912,99.4447403,99.59999847,99.87999725,100,99.80000305,99.96396637,99.90000153,100
Vietnam,VNM,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,82.1,83.8,,,,,91.9,,,93.8,94.7
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.547247727,6.977954812,7.129504484,5.661771208,5.397897543,6.423238217,6.413177689,5.50454562,5.553500245,6.422246656,6.987166724
Vietnam,VNM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.34,2.66,,2.9,3.1,2.91,,2.5,3.18,2.6,2.9
Vietnam,VNM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,266,260,253,246,239,231,225,218,212,205,199
Vietnam,VNM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,81.16,80.99,80.8,80.67,80.6,80.83,81.02,81.28,82.26,82.49,82.42
Vietnam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.271,73.319,73.436,73.411,73.498,73.513,73.692,73.704,73.775,73.855,73.876
Vietnam,VNM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,24.9,24.4,23.9,23.5,23.2,22.9,22.7,22.4,22.2,22,21.8
Vietnam,VNM,People practicing open defecation (% of population),SH.STA.ODFC.ZS,12.85427463,11.9065894,10.96871069,10.0409732,9.123416033,8.215439691,7.318509804,6.432776348,5.558686875,4.696202282,3.845595653
Vietnam,VNM,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,95.75177456,95.91100173,96.0702209,96.22943209,96.38863529,96.5478305,96.70701772,96.86619695,97.0253682,97.52238755,98.21274352
Vietnam,VNM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.6139,0.6239,0.6415,0.6648,0.6982,0.71,,0.8209,,0.783,0.7963
Vietnam,VNM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,37.74959295,,,,,39.36539699,38.4869748,37.22745154,36.83590641,34.89601505,32.46644382
Vietnam,VNM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,44.15,44.25,41.9,39.26,36.97,34.58,36.32,37.9,37.35,36.64,30.33
Vietnam,VNM,"School enrollment, primary (% gross)",SE.PRM.ENRR,97.72135162,98.12531281,99.78874207,101.6587524,102.3212509,105.7091675,107.193718,107.7544022,108.4108963,110.329628,109.8869934
Vietnam,VNM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,72,76,80,83,87,88,88,89,89.5,90,90
Vietnam,VNM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,16.15992928,16.78204918,18.48277092,19.06382942,20.23057938,22.82085991,24.94845009,25.18672943,25.19178963,30.71549988,29.07345963
Vietnam,VNM,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2.263000011,2.122999907,1.932000041,1.794999957,1.578999996,1.074000001,0.901000023,0.930999994,1.143000007,1.108999968,1.708999991
Vietnam,VNM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.095000029,2.086999893,2.029999971,1.927000046,1.74000001,1.110000014,1,1.029999971,1.320000052,1.25999999,1.850000024
Vietnam,VNM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.281,27.888,28.504,29.128,29.762,30.417,31.08,31.752,32.429,33.115,33.809
